,total,retailer_type_1,retailer_type_2,retailer_type_3
2020-09-07,0.607612356543541,0.23000997304916382,0.11272226274013519,0.26488012075424194
2020-09-14,0.5987782701849937,0.2304939329624176,0.11011021584272385,0.2581741213798523
2020-09-21,0.6190769597887993,0.22890134155750275,0.1070430651307106,0.28313255310058594
2020-09-28,0.6221513822674751,0.22883759438991547,0.11264681071043015,0.2806669771671295
2020-10-05,0.6185663044452667,0.22880646586418152,0.11579883098602295,0.27396100759506226
2020-10-12,0.5852282121777534,0.22961166501045227,0.11520978063344955,0.24040676653385162
2020-10-19,0.6080673262476921,0.23481178283691406,0.11937930434942245,0.2538762390613556
2020-10-26,0.6305026784539223,0.23639464378356934,0.110975481569767,0.28313255310058594
2020-11-02,0.6694445386528969,0.30153197050094604,0.11664602905511856,0.2512665390968323
2020-11-09,0.7264562174677849,0.3316699266433716,0.11904647201299667,0.2757398188114166
2020-11-16,0.7957421019673347,0.4188561737537384,0.12132153660058975,0.2555643916130066
2020-11-23,0.799452893435955,0.3972914218902588,0.11902891844511032,0.28313255310058594
